"obs","words","count"
1,"결제",10284
2,"은행",7609
3,"서비스",6538
4,"금융",5339
5,"페이",5126
6,"인터넷",4133
7,"기업",3979
8,"이커머스",3563
9,"시장",3265
10,"인증",3215
11,"국내",2936
12,"카드",2934
13,"온라인",2697
14,"보안",2609
15,"전자",2584
16,"정보",2578
17,"핀테크",2536
18,"공인",2520
19,"인증서",2433
20,"기술",2423
21,"금액",2344
22,"업체",2281
23,"사용",2191
24,"이용",2169
25,"한국",2117
26,"간편",2017
27,"전문",1990
28,"고객",1917
29,"제공",1804
30,"카카오",1804
31,"사업",1760
32,"거래",1685
33,"들이",1680
34,"시스템",1628
35,"하기",1613
36,"투자",1465
37,"규제",1456
38,"삼성",1446
39,"가능",1436
40,"알리바바",1417
41,"활용",1394
42,"관련",1374
43,"대출",1363
44,"때문",1352
45,"기존",1324
46,"방식",1293
47,"이상",1265
48,"경우",1258
49,"개발",1254
50,"계획",1251
51,"번호",1248
52,"필요",1246
53,"기반",1238
54,"도입",1237
55,"정부",1224
56,"미국",1202
57,"해외",1193
58,"진출",1177
59,"글로벌",1167
60,"다양",1152
61,"신용카드",1149
62,"회사",1126
63,"확대",1085
64,"플랫폼",1068
65,"지급",1063
66,"카드사",1059
67,"관계자",1058
68,"최대",1041
69,"뱅크",1039
70,"지난해",1009
71,"지원",1005
72,"산업",995
73,"알리",977
74,"업계",951
75,"쇼핑몰",946
76,"컨소시엄",946
77,"하면",932
78,"하지",931
79,"세계",929
80,"시작",895
81,"본인",880
82,"대표",855
83,"예정",853
84,"출시",848
85,"이번",844
86,"참여",843
87,"송금",838
88,"문제",833
89,"수단",833
90,"분야",818
91,"확인",813
92,"성장",809
93,"전망",809
94,"규모",803
95,"추진",798
96,"com",796
97,"이용자",783
98,"하나",779
99,"비밀",775
100,"계좌",771
101,"프로그램",768
102,"애플",761
103,"증권",756
104,"사용자",752
105,"상품",751
106,"설명",748
107,"운영",741
108,"설립",738
109,"적용",738
110,"안전",727
111,"개인정보",726
112,"강화",706
113,"기능",700
114,"가맹점",700
115,"보유",694
116,"우리",693
117,"분석",692
118,"구축",688
119,"제휴",686
120,"평가",679
121,"대상",676
122,"보호",672
123,"발표",671
124,"솔루션",664
125,"라인",659
126,"관리",653
127,"올해",639
128,"소비자",636
129,"조원",633
130,"사업자",631
131,"신한",628
132,"스마트폰",623
133,"방안",610
134,"진행",610
135,"개선",607
136,"등록",606
137,"금융당국",601
138,"지적",599
139,"발생",594
140,"확보",591
141,"입력",588
142,"상황",587
143,"오프",583
144,"사이트",579
145,"수수료",576
146,"가상",575
147,"업무",574
148,"연구",569
149,"설치",566
150,"금융권",565
151,"해킹",564
152,"경쟁",558
153,"마련",557
154,"주요",556
155,"경제",555
156,"환경",554
157,"보험",551
158,"기준",549
159,"증가",547
160,"쇼핑",543
161,"무단",540
162,"서울",537
163,"신용",537
164,"전재",536
165,"수준",533
166,"유출",533
167,"저장",530
168,"이라",525
169,"활성화",522
170,"위원회",516
171,"다음",516
172,"미래",512
173,"금융사",507
174,"생체",506
175,"구매",495
176,"지분",487
177,"재배포",486
178,"적극",478
179,"사이버",477
180,"체인",474
181,"그룹",471
182,"지문",470
183,"중심",468
184,"블록",468
185,"우리나라",466
186,"예상",464
187,"최초",464
188,"영역",463
189,"이후",454
190,"시행",453
191,"자체",452
192,"액티브x",452
193,"매출",450
194,"판매",448
195,"모델",446
196,"가능성",445
197,"금융회사",443
198,"디지털",442
199,"발전",438
200,"금융서비스",436
201,"홈페이지",432
202,"성공",429
203,"일본",427
204,"소비",423
205,"협력",422
206,"금융기관",421
207,"경쟁력",420
208,"과정",419
209,"보안성",416
210,"ict",415
211,"국의",413
212,"휴대폰",412
213,"요구",412
214,"달러",411
215,"개인",411
216,"우려",409
217,"절차",406
218,"변화",401
219,"금융거래",401
220,"편리",398
221,"방법",398
222,"완화",397
223,"국민",394
224,"융합",393
225,"스마트",389
226,"내용",388
227,"추가",388
228,"강조",387
229,"데이터",384
230,"대체",382
231,"의무",382
232,"발급",379
233,"구성",377
234,"뉴스",376
235,"혁신",376
236,"금융업",376
237,"신청",373
238,"펀드",370
239,"위안",370
240,"전략",368
241,"표준",365
242,"인수",364
243,"이유",362
244,"뱅킹",361
245,"아이",359
246,"전체",356
247,"준비",356
248,"확산",355
249,"허용",355
250,"시간",353
251,"회장",353
252,"관심",351
253,"중소기업",350
254,"자금",350
255,"화폐",350
256,"영업",347
257,"개정",347
258,"대비",346
259,"방침",345
260,"전화",344
261,"정도",342
262,"인식",340
263,"네이버",338
264,"심사",338
265,"비트",338
266,"전문가",334
267,"포함",334
268,"수집",333
269,"각종",332
270,"가운데",331
271,"대응",331
272,"소액",329
273,"내년",328
274,"농협",328
275,"해당",325
276,"프라",325
277,"금융산업",325
278,"중요",323
279,"시대",322
280,"대형",319
281,"예비",319
282,"일부",313
283,"위험",311
284,"형태",311
285,"etnews",311
286,"회원",311
287,"현금",310
288,"정책",309
289,"결과",309
290,"빅데이터",306
291,"규정",304
292,"비용",301
293,"센터",300
294,"현대",299
295,"수익",299
296,"가입",299
297,"금리",296
298,"오픈",295
299,"공격",295
300,"사례",292
301,"제도",288
302,"제한",286
303,"체결",286
304,"p2p",285
305,"기간",284
306,"코드",284
307,"체계",284
308,"연계",283
309,"마켓",282
310,"편의성",281
311,"가입자",280
312,"폐지",280
313,"비롯",278
314,"만큼",275
315,"기록",275
316,"노력",275
317,"대부분",274
318,"케이",274
319,"여부",273
320,"안정",272
321,"선택",270
322,"책임",270
323,"연결",268
324,"인가",268
325,"창조",267
326,"단계",265
327,"기관",265
328,"사전",265
329,"비즈니스",264
330,"주목",263
331,"하려",263
332,"등장",262
333,"비중",259
334,"주주",258
335,"얼굴",257
336,"인터파크",257
337,"효과",256
338,"금융시장",256
339,"채용",254
340,"검토",252
341,"확장",252
342,"지불",251
343,"통합",251
344,"자회사",250
345,"실제",250
346,"nfc",250
347,"감독원",248
348,"협회",247
349,"웹사이트",247
350,"이날",246
351,"바오",246
352,"신규",245
353,"서버",245
354,"생각",244
355,"방지",244
356,"브라우저",244
357,"사람",243
358,"자본금",243
359,"기대",242
360,"조치",242
361,"국제",241
362,"부분",240
363,"부문",240
364,"결합",239
365,"역할",238
366,"외국",238
367,"전환",238
368,"위어",238
369,"육성",237
370,"공동",235
371,"단말기",234
372,"핵심",233
373,"주장",233
374,"nhn",233
375,"판단",232
376,"투자자",232
377,"유통",231
378,"결정",231
379,"그동안",231
380,"감독",231
381,"해결",230
382,"선정",229
383,"제품",228
384,"스타트",228
385,"계약",228
386,"최고",227
387,"지난달",226
388,"의미",226
389,"반면",225
390,"국가",224
391,"메신저",224
392,"휴대",224
393,"진흥",222
394,"불편",222
395,"약관",221
396,"위협",221
397,"암호화",221
398,"관계",220
399,"클릭",220
400,"전자서명",220
401,"담당자",220
402,"지갑",219
403,"마감일",219
404,"하거",218
405,"네트워크",217
406,"목표",216
407,"지원자격",216
408,"게임",215
409,"중국인",215
410,"근무지역",215
411,"집중",213
412,"기회",212
413,"교수",212
414,"창출",212
415,"부산",211
416,"산업자본",211
417,"현지",210
418,"직종",210
419,"머니",210
420,"바탕",208
421,"입장",207
422,"영국",207
423,"자산관리",207
424,"비금융",207
425,"텔레콤",206
426,"개설",205
427,"경영",205
428,"가지",205
429,"포인트",204
430,"일반",203
431,"접근",203
432,"해커",203
433,"물건",203
434,"fido",203
435,"실적",202
436,"제시",202
437,"상반기",202
438,"당국",202
439,"저축",202
440,"애플리케이션",201
441,"자리",200
442,"간편화",199
443,"유니온",199
444,"영향",198
445,"사실",198
446,"마케팅",198
447,"과학",197
448,"정보기술",197
449,"감원",197
450,"수출",195
451,"본격적",195
452,"진입",194
453,"경험",194
454,"소프트웨어",194
455,"지주",194
456,"지속적",193
457,"경력",193
